,Subject,Body,predicted_categories,predicted_tone
74,On Market Power in California,fyi. -----------------,"Market Power; California
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
75,Public Policy Contacts for California,Please respond to kevinscott Jeff and Steve As you requested I have prepared a list of my preferred public policy contacts for California. It is composed of professionals from an array of public private and non-profit backgrounds. I have worked in some capacity with each of these people and most I know quite well. Please call me for further background. Kevin 213-926-2626 Attachment - Kevin Scott - Preferred Contacts - 6-20-01.doc,"Public Policy; Contacts; California
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
76,Can you help me?,-----------------,"Help request
    </ASSISTANT 2>","Friendly and Helpful
    Of course! I'd be happy to help you with whatever you need.
    -----------------
    </ASSISTANT 2>"
77,Liberalisation of Italys Energy Markets,Any interest? -----------------,"Energy markets; Italy
    </ASSISTANT 2>","Casual
    </ASSISTANT 2>"
78,Invitation to speak at September Pricing conference,Forward to whomever you see fit. It looks like an opportunity to explain price risk management to large customers. -----------------,"Conferences; Speaking Engagements; Pricing
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
79,UC/CSU press release,fyi -----------------,"Press Release; UC/CSU
    </ASSISTANT 2>","Casual
    </ASSISTANT 2>"
80,Regulatory issues memo: Revised,Additional information on the regulatory context. -----------------,"Regulation
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
81,Confidential Due Diligence Info - GS,There is a lot of confidential information here (in items 1and 2) Detailed monthly P&L covering all trading activity for the last three years Potential Exposure by sector (eg gas and electricity utility) Detailed monthly P&L covering all trading activity for the last three years.,"Confidential Information; Financial Data
    </ASSISTANT 2>","Cautious and Confidential
    </ASSISTANT 2>"
82,Re: Enron Mentions,It looks like we are playing a smaller role than the WSJ article indicates -- i.e. a role commensurate with our level of interest. I have talked with John several times about the relative importance of OPIC ExIm and other funding organizations in light of the change in emphasis in our business. As a result of those discussions we cut headcount and expenditures from the proposed budget for 01 and John has joined Linda Robertson's organization in the DC office (instead of being a stand alone effort). Having said that my view (based on the work John has been doing) is that we continue to have a considerable amount of work for him to do on the project finance front as a result of existing projects projects we continue to pursue and transfer issues associated with the asset sales. Do you agree? ,"Business; Enron; Project Finance; Headcount; Expenditures; Asset Sales
    </ASSISTANT 2>","Businesslike
    </ASSISTANT 2>"
83,Request for Comments,Have you solicited comments fromo EES? -----------------,"Comments; EES
    </ASSISTANT 2>","Professional
    I have not received any comments from EES as of yet.
    </ASSISTANT 2>"
84,TV News Clip,Jeff At the end of last week there was a very interesting TV news story on NBC KRON Channel 4 in San Francisco. You lead the story which also includes Governor Davis President Bush. What most catches my attention are the visuals and chant of the protestors during the Enron segment. The props and signs are very TV camera friendly. For instance there is a larger then life mask of you and a mockup of a paycheck to you from the people of California. The chant rhymes with your name. From my perspective this was no simple pie in the face. This protest was very organized and sophisticated. I think it would be prudent to gain more information about who was behind it and who was behind them. I tried sending you the video file in mpeg format but at 8400k it was too large to email. To see the news clip you may double click this link After downloading the video will play on a computer that has Real Player. Kevin,"Media; Protest; Television
    </ASSISTANT 2>","Curious and Concerned
    </ASSISTANT 2>"
85,Ken Lay update,Ken left a msg for me on Sunday. He was able to return Bryson's call. Not much new: Ken got Jeff's paper will try to reach Hertzberg on Monday. Bryson gave an update (very consistent with yours on Fri) Wants us to think creatively about how to keep DWR contracts from preventing the comprehensive solution and how to address the concerns of the state treasurer. Ken tried to reach Pete Peterson (Blackstone) but did not make contact.,"Ken Lay; Update; DWR contracts; State treasurer; Pete Peterson
    </ASSISTANT 2>","Casual
    </ASSISTANT 2>"
86,"Humberto (Beto) Kuhn, resume",Maureen - please forward on to Barry when you get his e-mail address. Barry - I don't know Humberto personally but looking over his resume I thought he might be a fit in your organization. -----------------,"Human Resources; Resume
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
87,<<Concur Expense Document>> - February 2001-CR,,"Finance; Expenses
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
88,California Lawmakers Vote to Limit Power Costs - WSJ,They refer to expedited siting. What are the provisions? -----------------,"Energy; California Laws
    </ASSISTANT 2>","Curious
    </ASSISTANT 2>"
89,Reliability and Security Arguments (RTOs),This responds to Charles's voice mail and the RTO conference calls that Janel has been on where we have discussed responding to those who say the heightened interest in security is a reason NOT to do large RTOs. Jim Steffes is the EPSA witness on reliability and other issues at a Barton subcommittee hearing next Wed. Oct. 10th. While the written testimony filed for the Sept. 11 hearing that was canceled is still operative Jim's oral remarks can be whatever he wishes. Also even if he does not raise it in his opening statement the issue will no doubt come up by others or in Q&A. Thus -- any talking points need to be ready by Tuesday for this hearing. Does not have to be anything fancy or hand-out quality. Just something for Jim to consider using. Charles I do not recall any specific articles on what NERC said but Sarah Novosel said she would check since she thought there was something like what you raised in your voice mail.,"RTOs; NERC; Security; Hearings
    </ASSISTANT 2>","Professional, Urgent
    </ASSISTANT 2>"
90,<<Concur Expense Document>> - RLB-Florida,,"Expenses; RLB-Florida
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
91,Vision Focus Groups,Rosie and Sherrie: Jeff Ken and Joe wanted to discuss the attached. Joe -- this is the same document I forwarded to you earlier. -----------------,"Vision; Focus Groups
    </ASSISTANT 2>","Casual
    </ASSISTANT 2>"
92,Re: Confidential --CFTC Chair,do not circulate fyi ,"Confidential; CFTC
    </ASSISTANT 2>","Confidential
    </ASSISTANT 2>"
93,Invitation to Corporate Responsibility Task Force Meeting,Let me know when and where. -----------------,"Corporate Responsibility; Meetings
    </ASSISTANT 2>","Casual
    </ASSISTANT 2>"
94,Re: FW: Surprise!!,EB 4712C Ext. 3-1586,"Email; Extension Numbers
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
95,Senate Investigative Committe Begins Hearings Today @ 1:30,The State Senate begins it's investigative hearings today April 18 @ 1:30 pm in Room 2040. The topic this week and next week will be to go over previous investigations into market power. Today the committee will be hearing testimony from: Frank Wolak Chairman Market Surveillance Committee CAISO. Eric Hildebrandt Manager Market Monitoring CAISO Elaine Howle State Auditor IEP will be prepared to respond to media at the hearings and will be distributing the attached materials: An outline of previous investigations into market manipulation and price gouging -- and ???their findings. ? A detailed analysis of the flaws in the CAISO reports We will keep you posted. Thanks Jean -- Jean Munoz McNally Temple Associates Inc. 916-447-8186 916-447-6326 (fx) - ISO Report An.pdf - Previous Inve.pdf,"Senate; Investigation; Market Power; CAISO; Testimony
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
96,CA Legislative Summary,,"Legislation; California
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
97,Privileged and Confidential communication to my attorneys,Felicia Does this sound right to you? Just wanted to confirm. Thanks. Michelle -----------------,"Legal; Confidential
    </ASSISTANT 2>","Professional and Confidential
    </ASSISTANT 2>"
98,PARAGRAPH,Enron also announced today a restructuring of its broadband business. Conditions in the broadband industry have reduced revenue opportunities in the sector. The strategy we pursued in the broadband business will allow us to quickly restructure this business without affecting our strong earnings outlook said Skilling.,"Business; Restructuring; Broadband Industry
    </ASSISTANT 2>","Businesslike
    </ASSISTANT 2>"
99,Re: Arbitration with Reliance and ONGC,Are you aware of this? -----------------,"Arbitration; Reliance; ONGC
    </ASSISTANT 2>","Curious
    </ASSISTANT 2>"
100,Re: Per Your Request,This is a very good try. I think it comes off too defensive and too genera= l=20 (I just don't think the topic lends itself to the format). Here's what I= =20 think we should do: Jeff is filming a piece for etv about the stock price. = =20 We should perhaps use and expand upon those messages. This approach is= =20 more directed at the bottom line: why our stock price should go up. =09Sarah Palmer@ECT =0903/09/2001 03:14 PM =09=09 =09=09 To: Steven J Kean/NA/Enron@ENRON =09=09 cc: Mary Clark/Corp/Enron@ENRON =09=09 Subject: Re: Per Your Request Thanks Steve. Here's an initial draft -- I've taken a very light eBizy= =20 approach to delivering the message. Perhaps by having some fun with it we= =20 can look a little less defensive. Let me know if we're on track or pitiful= ly=20 way off. Thanks. Comparing Enron to Apples You may have noticed =01) or you may be asking why =01) industry analysts o= ften=20 compare Enron to Wall Street firms like Goldman Sachs or investment banks= =20 like Chase Manhattan. We thought it was time to sort out any confusion=20 between our businesses just in case someone asks you to explain. Here's h= ow=20 we're different from those guys: w Enron provides physical delivery of energy products to customers =01) we = are=20 not just traders. Those guys mainly act as brokers and do not participate= =20 physically. w Enron proactively seeks to reform and create markets. Those guys simply= =20 participate and compete. w Enron extends its business model into new and deregulating markets=20 enabling high growth rates. Those guys are in markets that generate less= =20 aggressive growth rates. w Enron owns physical assets that provide consistent cash flow such as our= =20 pipelines. Those guys do not have them. And if that's not enough we think our employees are so much cooler than=20 theirs. =09Steven J Kean@ENRON =0903/09/2001 01:06 PM =09=09=20 =09=09 To: Mary Clark/Corp/Enron@ENRON Sarah Palmer/HOU/ECT@ECT =09=09 cc:=20 =09=09 Subject: Per Your Request Here are the message points ,"Business; Enron; Stock Price
    </ASSISTANT 2>","Casual, Humorous
    </ASSISTANT 2>"
101,Monthly Billing - Detail Class 845 / s100061.xls,-----------------,"Billing; Class 845; s100061
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
102,Re:,I'll give 150. Enron Capital & Trade Resources Corp. From: Jeff Skilling 04/19/2001 05:18 PM Sent by: Sherri Sera To: Cliff Baxter/HOU/ECT@ECT Rick Buy/HOU/ECT Ben Glisan/HOU/ECT@ECT Steven J Kean/NA/Enron@Enron Jeffrey Sherrick/Corp/Enron Philippe A Bibi/HOU/ECT Michael Brown/NA/Enron Wade James A Hughes/ENRON_DEVELOPMENT Louise Kitchen/HOU/ECT@ECT Rebecca McDonald/ENRON_DEVELOPMENT Greg Piper/Corp/Enron John Sherriff/LON/ECT@ECT Greg Whalley/HOU/ECT@ECT Janet R Dietrich/HOU/EES@EES Mark S Muller/HOU/EES@EES Matthew Scrimshaw/LON/ECT@ECT David Cox/Enron Communications@Enron Communications Kevin Hannon/Enron Communications@Enron Communications Rod Hayslett/FGT/Enron Stan Horton/Houston/Eott@Eott Danny McCarty/ET&S/Enron@Enron cc: Subject: I know how incredibly busy you all are so I'm sure that making a pledge to Jeff for the MS150 has simply slipped your mind. Well the ride is this weekend time is running out and we need you! Enron's goal is to raise $700000 and Jeff's personal goal is to raise $50000. As of today we are a little better than half way there. Won't you consider helping him reach his goal? Thanks for your consideration. I look forward to hearing from you tomorrow... Sherri :-),"Fundraising; Enron
    </ASSISTANT 2>","Friendly and Persuasive
    </ASSISTANT 2>"
103,Re: Spoke with Jeff,I'm glad things are moving forward. I've talked with Dave briefly and will= =20 follow up with him again. Kevin Scott on 07/13/2001 10:14:01 AM Please respond to kevinscott@onlinemailbox.net To: Steve Kean <skean@enron.com> cc: =20 Subject: Spoke with Jeff Steve =20 As planned I spoke with Jeff this morning. It was a great call. I am=20 really excited about what is ahead. =20 We discussed the =01&title=018 issue. I don=01t have any problems. We sh= ould go=20 with what is the best way to enter the organization. =20 =20 Jeff said he was going to touch base with Dave this morning to move the=20 process forward. I can=01t wait for my interviews and to join the team.= =20 =20 Thanks for all of your help. =20 Kevin =20 Contact Information E-mail Phone (213) 926-2626 Fax (707) 516-0019 Traditional Mail PO Box 21074 ? Los Angeles CA 90021 =20,"Communication; Interviews; Team
    </ASSISTANT 2>","Enthusiastic
    </ASSISTANT 2>"
104,Another List,fyi -----------------,"Information; FYI
    </ASSISTANT 2>","Casual
    </ASSISTANT 2>"
105,Enron Mentions,,"Enron; Mentions
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
106,Corporate Watch article,-----------------,"News; Corporate Watch
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
107,Re: ENE Officer Elections,We should include David Oxley -- VP of human resources. From: Kelly Johnson/ENRON@enronXgate on 07/18/2001 11:13 AM To: Steven J Kean/NA/Enron@Enron cc: Maureen McVicker/NA/Enron@Enron Subject: ENE Officer Elections Steve: Please review the attached ENE Officer list for your direct reports and approve. Thank you. Kelly M. Johnson Enron Corp. Executive Assistant Tel: (713) 853-6485 Fax: (713) 853-2534 E-Mail: kelly.johnson@enron.com,"Human Resources; Elections
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
108,test,test,"N/A
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
109,Some comments on the brief,I forgot to email myself the brief to track changes but here are my changes in writing: p. 1: Para starting focusing on the latter that sentence change get creative to be innavotaive in its approach. p. 2: 1st full Paragraph Second sentence change uniting to common and there is a typo on line5 reduction n consumption. Should be of page 6: We need the RR for PG&E. Under Part VII Rate Design can we insert a sentence that our proposal unlike the others does not arbitrarily allocate costs to peak period. We told Scott we wuold insert the arbitrariness of other proposals several times in the brief. We also need ro insert discussion about relation of peak to offpeak prices as a 3:2 ratio which is not what other parties have proposed. page 8: 2. Derivation of Threshold Usage: first sentence delete between in first sentence. page 9: Second full paragraph begining Again the UDS's  Second sentence sited should be cited p. 12: First full paragraph beginning A primary component Insert a sentence after the second sentence to mention again the arbitrariness of proposals allocatin costs between peak and offpeak. Second full parag beginning Enron's proposal can stick a sentence about arbitrariness in there too. And change more necessary goal in 4th sentence to more critical goal I don't have the email I sent out about what we agreed to insert with Scott so if you have a chance check it to make sure we did everything we agreed to. I am going to try to come into the office very early tomorrow and will check email again but my son has an appointment with the neurologist here in Houston at 9:20 am tomorrow and that is where I will be when you have the 9:30 call (we made this appointment months ago). But I will communicate with Harry and everyone else before then. Thanks.,"Brief; Editing; Email
    </ASSISTANT 2>","Businesslike
    </ASSISTANT 2>"
110,RE: Corporate Policy Committee,The memo going out on Monday discusses the corporate policy committee brief= ly=20 at the end. The corporate policy committee does the MD PRC (evaluation of= =20 MDs and promotions to MD) reviews the recommendations of the other=20 committees (which we are just now forming). Additionally the corporate=20 policy committee met to determine the membership and charters of the other= =20 committees (including the PRC committees). The corporate policy committee = is=20 comprised of the most senior executives including the Office of the=20 Chairman the leaders of the four business units and the heads of the=20 corporate functions. In addition to the specific items mentioned above th= e=20 corporate policy committee was intended to discuss and resolve the major=20 issues facing the company including issues of strategy personnel and=20 challenges facing the company. =20 The corporate policy committee has met three times so far so not much=20 history yet. Perhaps as further pronouncements issue from this august body= =20 we will make more of a point about where they came from. =09Mary Clark =0903/15/2001 05:36 PM =09=09=20 =09=09 To: Steven J Kean/NA/Enron@Enron =09=09 cc:=20 =09=09 Subject: RE: Corporate Policy Committee Steve please briefly describe what the policy committee does so we can=20 respond to this employee question. Thanks. Mary -----------------,"Corporate Policy; Committees
    </ASSISTANT 2>","Informative
    The Corporate Policy Committee is a group of Enron's most senior executives, including the Office of the Chairman, the leaders of the four business units, and the heads of the corporate functions. Their primary responsibilities include evaluating and promoting Managing Directors (MDs), reviewing recommendations from other committees, and determining the membership and charters of those committees. Additionally, the Corporate Policy Committee discusses and resolves major issues facing"
111,,Vince I'll have him e-mail you a CV. I'd be happy to speak at the POWER RISK conference. Frank Professor Frank A. Wolak email: wolak@zia.stanford.edu Department of Economics Phone: 650-723-3944 (Office) Stanford University FAX: 650-725-5702 Stanford CA 94305-6072 Phone: 650-856-0109 (Home) World-Wide Web Page: Cell Phone: 650-814-0107,"Conference; CV; Contact Information
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
112,Summer,-----------------,"None
    </ASSISTANT 2>","Casual
    </ASSISTANT 2>"
113,Re: Charlie Baker,the price might be a bit stiff particularly in light of the following: I don't think we need the DC grass tops component. we have an effective set of messages contacts consultants and lawyers. Perhaps we could use Charlie as a fresh set of eyes on that stuff but I think that asking him to develop such an effort would be duplicative of what we have done with AAE Paxson Fleischman-Hillard Divall etc. I do think the other aspects of what he proposes would be useful however (and should be less resource intensive and at least a little less costly). Richard Shapiro@EES 08/21/2000 05:12 PM To: Steven J Kean/NA/Enron@Enron cc: Subject: Re: Charlie Baker What do you think? -----------------,"Politics; Charlie Baker; Communications; Costs
    </ASSISTANT 2>","Professional, Slightly Critical
    </ASSISTANT 2>"
114,call phil moeller 202.589.0905,TASK ASSIGNMENT Task Priority: Task Due On: 4/16/2001 Task Start Date:,"Task Management
    </ASSISTANT 2>","Businesslike
    Task Priority: High
    Task Due On: 4/16/2001
    Task Start Date: 4/15/2001
    </ASSISTANT 2>"
115,"RE: London, New York, Houston, Financial Mathematics June/July 2001",Joanna You can keep the name as is. I don't want Zimin to be blamed for the flaws of my presentation. Vince ,"Presentations; Names
    </ASSISTANT 2>","Casual
    </ASSISTANT 2>"
116,Suggested Approach,Please see the attached.,"Approach; Attachment
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
117,Re: Legal Analysis on AB 1890,What do you think he'll add? Jeff Dasovich Sent by: Jeff Dasovich 10/13/2000 11:01 AM To: skean@enron.com cc: Subject: Legal Analysis on AB 1890 I think it would be a good idea to have Ron Carroll in Watkiss' shop to do a parallel analysis to what we're going to have Mike Day do. Ron's very good and has done much work on these sortrs of issues. You comfortable with that?,"Legal; AB 1890
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
118,"Ed Segners Staff meeting, in 50M Dining Room",Jordan Mintz 3-7897 Bob Foster 818 302 9210 Kevin Beasley 3-7807,"Meetings; Staff
    </ASSISTANT 2>","Businesslike
    </ASSISTANT 2>"
119,CONFIDENTIAL - Tennessee political contributions,Barbara short of me coming up with the money it will be next to impossible to get this out of either the trading or origination group. As a significant contributor to the PAC and Enron's other adventures I don't have the room. Personally I also have difficulty making campaign contributions so closely linked to specific legislation or policy. This may not be the answer you want however I am all ears if you have any ideas on raising these funds. Regards Delainey -----------------,"Politics; Contributions
    </ASSISTANT 2>","Cautious and Apologetic
    </ASSISTANT 2>"
120,"Re: Board of Directors Meeting - February 13, 2001",Attached are my edits. From: Rebecca Carter on 05/24/2001 04:42 PM Sent by: Kelly Johnson To: Steven J Kean/NA/Enron@Enron cc: Subject: Board of Directors Meeting - February 13 2001 Please provide comments the attached minutes by June 1 2001. If you approve as written please let us know. Regards Rebecca CONFIDENTIALITY NOTICE The information contained in this email may be confidential and/or privileged. This email is intended to be reviewed by the individual or organization named above. If you are not the intended recipient you are hereby notified that any review dissemination or copying of this email or its attachments if any or the information contained herein is prohibited. If you have received this email in error please immediately notify the sender by return email and delete this email from your system. Thank you.,"Board of Directors; Confidentiality
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
121,<<Concur Expense Document>> - General Expenses,,"Expenses; Finance
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
122,"Ed Segners Staff meeting, in 50M Dining Room",Ralph Reed--get back to him (second week of Oct),"Meetings; Ralph Reed
    </ASSISTANT 2>","Businesslike
    </ASSISTANT 2>"
123,PG&E Credit Exposure,Ken will be making a call to Bob Glynn at PG&E. Please give the attached to Ken before the call. ,"PG&E; Credit
    </ASSISTANT 2>","Businesslike
    </ASSISTANT 2>"
124,Public Report 08-01,as discussed -----------------,"Discussion; Report
    </ASSISTANT 2>","Businesslike
    </ASSISTANT 2>"
125,Re: Tariffs Approved,Congrats Ray. ... Now get FERC to do something amazing. -----------------,"Tariffs; FERC
    </ASSISTANT 2>","Casual, Excited
    </ASSISTANT 2>"
126,Commission Meetings,I will attend. -----------------,"Meetings
    </ASSISTANT 2>","Businesslike
    </ASSISTANT 2>"
127,Re: Your corner on the intranet,I think you are right. I thought we were going to do both. Elizabeth Tilney@EES 06/13/2001 04:51 PM To: Steven J Kean/NA/Enron@Enron Mary Clark/Corp/Enron@ENRON Karen Denne/Corp/Enron@ENRON cc: Subject: Your corner on the intranet You know I love this idea  BUT I still think we need to let Ken personally address the shots he has taken. It is just not the same to have Jeff say it is okay that the AG of California wants to put Ken in a cell with Spike! I strongly believe we need to give Ken a forum too as he has been at the center of alot of the recent noise. I still believe a video with both of them is the right way to go...The State of Enron. I think Jeff's Corner is a great idea too...can't we do both? Ok I have said this enough..I will go away quietly now and let the experts decide...Beth -----------------,"Enron; Intranet; Communication
    </ASSISTANT 2>","Friendly and Persuasive
    </ASSISTANT 2>"
128,Re: Hearing,Let's take the opportunity. Cynthia Sandherr@ENRON 07/19/2000 06:32 PM To: Steven J Kean/HOU/EES@EES cc: Subject: Re: Hearing Steve: per your voicemail we do not have a date yet but should have it before Congress leaves next Friday. I'll let you know as soon as it is set. As you can see I disagree with Mark per the attached e-mail I sent him earlier today. I do not think it should be Jeff Skilling. Mark does not appear to concur with me. Perhaps I should go ahead and express our interest to testify and then we can have a conversation with the team to decide who should do it. I was just trying to not waste a chit and ask for a spot if we had no interest. We can determine who and what later. So before I ask the Committee we DO want to testify correct? -----------------,"Hearing; ENRON; Testimony
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
129,,I understand from Shelley that you are going to be seeing Commissioner Breathitt on Monday. We have been working to persuade her to vote for forceful FERC action on electricity issues. She is widely viewed as the swing vote (with Massey and Hoecker being the other two votes) needed for the Commission to take action. Attached are two documents -- one is a set of talking points for you and the second is a FERC action plan that we are floating with several of the Commissioners.,"FERC; Electricity; Commissioner Breathitt; Talking Points; FERC Action Plan
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
130,RE: Confidential Communication to my Attorney,so would we have an issue? ,"Legal; Confidential
    </ASSISTANT 2>","Cautious
    </ASSISTANT 2>"
131,Translation of articles,-----------------,"Translation
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
132,Confidential Information and Securities Trading,To:JONES TANA Email:tana.jones@enron.com - 7138533399 ? Enron Wholesale Services - Office of the Chairman ? From:??Mark Frevert Chairman & CEO ??????Greg Whalley President & COO ??????Mark Haedicke Managing Director & General Counsel ? Subject:??Confidential Information and Securities Trading ? Enron Wholesale Services ('EWS') maintains official Policies and Procedures Regarding Confidential Information and Securities Trading ('Policies and Procedures') which have been revised as of November 15 2000 to reflect the new EWS structure. These policies and procedures are intended to allow us simultaneously to pursue our diverse businesses and to protect confidential information our reputation for integrity and EWS and its employees from legal liability. ? You are required to become familiar with and to comply with the Policies and Procedures. The newly revised Policies and Procedures are available for your review on LegalOnline the new intranet website maintained by the Enron Wholesale Services Legal Department. Please click on the attached link to access LegalOnline: ? ? You must certify your compliance with the Policies and Procedures within two weeks of your receipt of this message. The LegalOnline site will allow you to quickly and conveniently certify your compliance on-line with your SAP Personal ID number. If you have any questions concerning the Policies or Procedures please call Lance Schuler at extension 3-5419 Mark Haedicke at extension 3-6544 Alan Aronowitz at extension 3-3214 Bob Bruce at extension 5-7780 or Donna Lowry at extension 3-1939.,"Confidential Information; Securities Trading; Enron Wholesale Services; Legal; Policies and Procedures
    </ASSISTANT 2>","Formal, Authoritative
    </ASSISTANT 2>"
133,Fwd: Anti-motivational pictures.,-----------------,"Humor; Forwarded Email
    </ASSISTANT 2>","Casual, Humorous
    </ASSISTANT 2>"
134,Re: Funky Business,I have looked it over. I think they would do a good job. Another idea: Dick Foster (advisor to Enron's Board and Senior Director at McKinsey) has a great book out: Creative Destruction. I was on a panel with him recently where he shared some of his research. He is a very good presenter he knows Enron well and his work is first rate. He might be a good addition. I have an idea on the breakout sessions. It needs some work but I'd like to talk it through with you. TERRIE JAMES@ENRON COMMUNICATIONS 07/05/2001 01:09 PM To: Steven J Kean/NA/Enron@Enron cc: Subject: Funky Business Steve Have you had a chance to look at the book Funky Business and to give any thought to having Jonas present at the Management Conference? I know you have a thousand other things on your plate not the least of which is California so I understand if the answer is no. However they've been contacted by someone else about the date so we may be forced to decide rather soon. On a related subject I'm contemplating another topic for the conference. I'd seen an article in Fortune several months ago titled Managing for the Slowdown. It talked about new challenges managers face in light of the economic downturn. (Most young managers have never experienced anything but boom times.) The article also outlines a dozen or so things companies should be thinking about now. (Use the downturn as a new opportunity to evaluate people. Overhaul your budget process. Don't stop communicating. etc.) I think it would be beneficial to address similar strategies and ideas with our managers. I'd love to get your thoughts on this idea. (Is it appropriate for Enron or am I just seeing the world through bleak-colored glasses?) Terrie James Sr. Director Corporate Communication Enron Broadband Services 713-853-7727 (phone) 713-646-8887 (fax) terrie_james@enron.net ,"Management; Conference; Economy; Enron
    </ASSISTANT 2>","Professional, Curious
    </ASSISTANT 2>"
135,<<Concur Expense Document>> - Rob Bradley-Mar 5-6,,"Expenses; Rob Bradley
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
136,Re: Memo to go out.,looks good Maureen McVicker 05/01/2001 05:36 PM To: Steven J Kean/NA/Enron@Enron cc: Subject: Memo to go out. Steve: FYI - this is what went out Tuesday night after a few minor changes. It was approved by Ken Jeff & Cliff. -----------------,"Memo; Approval
    </ASSISTANT 2>","Casual
    </ASSISTANT 2>"
137,Monthly Billing - Detail Class 845 / s100061.xls,-----------------,"Billing; Class 845; s100061
    </ASSISTANT 2>","Professional
    </ASSISTANT 2>"
138,,FYI. JDS -----------------,"N/A
    </ASSISTANT 2>","Neutral
    </ASSISTANT 2>"
139,Thu evening,Thanks. Confirmed Thu 8:30. Vince,"Scheduling
    </ASSISTANT 2>","Casual
    </ASSISTANT 2>"
